provider_id,provider_name,provider_type,state,active_members,satisfaction_score,utilization_rate,claims_submitted,reimbursement_days,performance_score
MH-PROV-0243,MetroHealth Partner Provider 243,Hospital,Kano,2475,84.4,100.0,4551,9.9,90.8
MH-PROV-0244,MetroHealth Partner Provider 244,Hospital,Lagos,2645,77.0,80.6,3042,11.7,81.5
MH-PROV-0245,MetroHealth Partner Provider 245,Hospital,Oyo,4706,88.9,59.5,3935,8.4,80.9
MH-PROV-0246,MetroHealth Partner Provider 246,Hospital,Kano,4424,81.2,46.6,5202,7.7,74.2
MH-PROV-0247,MetroHealth Partner Provider 247,Specialist Center,Abuja,399,65.3,63.2,2747,11.3,71.7
MH-PROV-0248,MetroHealth Partner Provider 248,Clinic,Lagos,3211,64.3,71.0,2810,10.4,73.9
MH-PROV-0249,MetroHealth Partner Provider 249,Laboratory,Rivers,3937,77.3,67.3,5806,15.5,76.5
MH-PROV-0250,MetroHealth Partner Provider 250,Specialist Center,Lagos,2758,72.6,81.4,5239,13.3,79.5
MH-PROV-0251,MetroHealth Partner Provider 251,Specialist Center,Rivers,2410,69.4,72.8,2138,1.3,79.2
MH-PROV-0252,MetroHealth Partner Provider 252,Specialist Center,Abuja,4062,68.4,54.5,4301,2.5,73.0
MH-PROV-0253,MetroHealth Partner Provider 253,Hospital,Oyo,1705,75.0,45.4,3368,15.4,69.0
MH-PROV-0254,MetroHealth Partner Provider 254,Clinic,Lagos,6378,66.4,78.4,3469,10.2,77.0
MH-PROV-0255,MetroHealth Partner Provider 255,Specialist Center,Lagos,5643,72.2,80.1,3362,14.0,78.7
MH-PROV-0256,MetroHealth Partner Provider 256,Pharmacy,Lagos,2627,79.1,83.7,4817,8.7,84.1
MH-PROV-0257,MetroHealth Partner Provider 257,Specialist Center,Abuja,1457,84.7,55.3,4461,8.1,78.0
MH-PROV-0258,MetroHealth Partner Provider 258,Laboratory,Lagos,3318,73.5,55.1,1572,10.5,72.8
MH-PROV-0259,MetroHealth Partner Provider 259,Clinic,Kano,3189,81.5,48.2,1133,21.1,70.7
MH-PROV-0260,MetroHealth Partner Provider 260,Hospital,Lagos,3986,68.7,97.1,2257,11.8,83.1
MH-PROV-0261,MetroHealth Partner Provider 261,Pharmacy,Kano,1907,83.8,30.5,3729,14.1,68.4
MH-PROV-0262,MetroHealth Partner Provider 262,Pharmacy,Lagos,1835,70.2,46.7,1683,15.0,67.6
MH-PROV-0263,MetroHealth Partner Provider 263,Laboratory,Lagos,2624,58.5,25.0,5867,13.4,56.9
MH-PROV-0264,MetroHealth Partner Provider 264,Pharmacy,Lagos,5263,75.4,100.0,4406,20.7,84.0
MH-PROV-0265,MetroHealth Partner Provider 265,Hospital,Kano,5542,78.3,100.0,4730,8.1,88.9
MH-PROV-0266,MetroHealth Partner Provider 266,Hospital,Lagos,2096,58.5,82.7,5301,10.5,75.1
MH-PROV-0267,MetroHealth Partner Provider 267,Laboratory,Lagos,4298,89.3,79.6,1313,9.8,86.7
MH-PROV-0268,MetroHealth Partner Provider 268,Clinic,Oyo,2679,77.0,68.4,2567,10.7,78.1
MH-PROV-0269,MetroHealth Partner Provider 269,Pharmacy,Abuja,6116,78.9,52.8,4973,14.3,73.1
MH-PROV-0270,MetroHealth Partner Provider 270,Laboratory,Kano,5827,45.5,34.8,5000,3.8,57.5
MH-PROV-0271,MetroHealth Partner Provider 271,Hospital,Lagos,2299,59.5,55.4,3515,5.9,68.6
MH-PROV-0272,MetroHealth Partner Provider 272,Pharmacy,Abuja,1506,95.6,40.9,3977,12.0,76.9
MH-PROV-0273,MetroHealth Partner Provider 273,Pharmacy,Rivers,4424,59.3,45.9,3574,15.4,62.9
MH-PROV-0274,MetroHealth Partner Provider 274,Clinic,Lagos,826,77.8,38.2,1197,12.9,68.7
MH-PROV-0275,MetroHealth Partner Provider 275,Laboratory,Oyo,1297,79.9,62.9,4265,4.7,79.4
MH-PROV-0276,MetroHealth Partner Provider 276,Hospital,Lagos,4676,87.2,67.7,4405,10.6,82.0
MH-PROV-0277,MetroHealth Partner Provider 277,Pharmacy,Rivers,6450,69.3,46.5,1547,15.2,67.1
MH-PROV-0278,MetroHealth Partner Provider 278,Clinic,Lagos,3790,73.6,48.5,3366,7.2,71.8
MH-PROV-0279,MetroHealth Partner Provider 279,Pharmacy,Kano,5900,76.9,62.4,5725,10.7,76.3
MH-PROV-0280,MetroHealth Partner Provider 280,Hospital,Lagos,5280,76.1,80.9,358,15.9,79.9
MH-PROV-0281,MetroHealth Partner Provider 281,Laboratory,Rivers,6283,63.1,52.2,898,13.5,66.8
MH-PROV-0282,MetroHealth Partner Provider 282,Clinic,Rivers,4243,66.3,22.7,5012,8.3,60.8
MH-PROV-0283,MetroHealth Partner Provider 283,Hospital,Lagos,645,88.6,68.3,3391,10.2,82.9
MH-PROV-0284,MetroHealth Partner Provider 284,Clinic,Lagos,4710,74.3,64.4,2155,12.6,75.3
MH-PROV-0285,MetroHealth Partner Provider 285,Pharmacy,Abuja,1448,84.9,67.3,4058,10.1,81.1
MH-PROV-0286,MetroHealth Partner Provider 286,Pharmacy,Kano,4424,90.8,59.6,1862,12.1,80.6
MH-PROV-0287,MetroHealth Partner Provider 287,Specialist Center,Abuja,2234,91.1,81.5,1117,17.4,85.7
MH-PROV-0288,MetroHealth Partner Provider 288,Pharmacy,Rivers,5887,82.1,39.9,1182,3.7,73.7
MH-PROV-0289,MetroHealth Partner Provider 289,Pharmacy,Abuja,4086,89.0,61.9,1623,4.6,82.8
MH-PROV-0290,MetroHealth Partner Provider 290,Pharmacy,Kano,4013,79.3,100.0,755,19.1,86.0
MH-PROV-0291,MetroHealth Partner Provider 291,Hospital,Rivers,413,69.5,52.0,3998,4.7,72.0
MH-PROV-0292,MetroHealth Partner Provider 292,Hospital,Kano,2116,81.8,75.3,5578,16.5,80.4
MH-PROV-0293,MetroHealth Partner Provider 293,Hospital,Abuja,2447,78.9,66.7,1782,19.1,75.8
MH-PROV-0294,MetroHealth Partner Provider 294,Hospital,Oyo,1693,83.9,85.6,3732,10.4,86.1
MH-PROV-0295,MetroHealth Partner Provider 295,Hospital,Abuja,466,83.9,82.3,1799,13.3,84.3
MH-PROV-0296,MetroHealth Partner Provider 296,Laboratory,Kano,4524,69.7,49.5,3462,6.5,70.8
MH-PROV-0297,MetroHealth Partner Provider 297,Clinic,Rivers,4655,87.5,47.5,2103,15.9,74.5
MH-PROV-0298,MetroHealth Partner Provider 298,Laboratory,Lagos,1052,80.4,79.2,4804,8.7,83.3
MH-PROV-0299,MetroHealth Partner Provider 299,Hospital,Rivers,2481,80.1,53.9,874,14.9,73.7
MH-PROV-0300,MetroHealth Partner Provider 300,Clinic,Rivers,727,74.6,21.3,1925,16.4,61.3
